store_id,store_dna_dim,store_dna_norm,reviews_present,reviews_norm,news_present,news_norm,reports_present,reports_norm,products_present,products_norm,ops_weekly_present,ops_weekly_norm,structured_ops_present,structured_ops_norm
USR-001,15365,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,3.179605007171631
USR-002,15365,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,2.408151388168335
USR-003,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.860113263130188
USR-004,15365,0.9999999403953552,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,3.0736825466156006
USR-005,15365,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.877907633781433
USR-006,15365,1.0,True,0.9999999403953552,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.5352699756622314
USR-007,15365,1.0,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,1.4731084108352661
USR-008,15365,0.9999999403953552,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,2.5736682415008545
USR-009,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,2.4293363094329834
USR-010,15365,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,2.0727925300598145
USR-011,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.5091524124145508
USR-012,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.7169245481491089
USR-013,15365,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,0.9999999403953552,True,2.6745991706848145
USR-014,15365,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,3.150538206100464
USR-015,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,3.7150564193725586
USR-016,15365,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,0.9999999403953552,True,1.0,True,1.5135881900787354
USR-017,15365,1.0,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.9174718856811523
USR-018,15365,1.0,True,0.9999999403953552,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,1.8935251235961914
USR-019,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.4806400537490845
USR-020,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,2.531080722808838
USR-021,15365,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,2.5273613929748535
USR-022,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.559248447418213
USR-023,15365,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.3870174884796143
USR-024,15365,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,2.8798298835754395
USR-025,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,2.3710577487945557
USR-026,15365,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,2.062023639678955
USR-027,15365,1.0,True,0.9999999403953552,True,1.0,True,0.9999999403953552,True,1.0,True,0.9999999403953552,True,2.4766712188720703
USR-028,15365,1.0,True,1.0,True,0.9999998807907104,True,0.9999999403953552,True,1.0,True,1.0,True,2.709077835083008
USR-029,15365,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,2.523620367050171
USR-030,15365,1.0,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,2.029125452041626
USR-031,15365,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.9249895811080933
USR-032,15365,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,1.7552201747894287
USR-033,15365,1.0,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,2.9924957752227783
USR-034,15365,1.0,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,3.6883745193481445
USR-035,15365,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,2.299769639968872
USR-036,15365,0.9999999403953552,True,0.9999999403953552,True,1.0,True,0.9999998807907104,True,1.0,True,1.0,True,1.5641021728515625
USR-037,15365,1.0,True,0.9999999403953552,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,0.9999999403953552,True,2.0150046348571777
USR-038,15365,0.9999999403953552,True,1.0,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.4540156126022339
USR-039,15365,0.9999998807907104,True,1.0,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,2.24420428276062
USR-040,15365,1.0,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,2.0532217025756836
USR-041,15365,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,2.1929173469543457
USR-042,15365,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.354825496673584
USR-043,15365,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.7992050647735596
USR-044,15365,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,0.9999999403953552,True,3.684562921524048
USR-045,15365,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.4806742668151855
USR-046,15365,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.9178344011306763
USR-047,15365,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.9999999403953552,True,2.156525135040283
USR-048,15365,1.0,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,2.8315329551696777
USR-049,15365,0.9999999403953552,True,0.9999999403953552,True,1.0,True,1.0,True,0.9999999403953552,True,0.9999999403953552,True,2.3049519062042236
USR-050,15365,0.9999998807907104,True,0.9999999403953552,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.870971441268921
USR-051,15365,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.7585102319717407
USR-052,15365,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.3256007432937622
USR-053,15365,0.9999999403953552,True,1.0,True,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,2.7751364707946777
USR-054,15365,1.0,True,0.9999999403953552,True,1.0,True,1.0,True,1.0,True,1.0,True,3.195617437362671
